track_name,track_id,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness
Cash In Cash Out,3S68RFe1lsdCdTMPIMJM3X,0.877,0.00721,0.56,119.971,1.45e-06,-3.751,0.0839,216136,7,0.154,0.0596
STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,0.591,0.0383,0.764,169.928,0.0,-5.484,0.103,141806,1,0.478,0.0483
Numb,10xV5l9nhLvFpR8mqzs0bL,0.912,0.121,0.774,119.966,0.0127,-4.673,0.101,155589,0,0.632,0.0455
So Good,6kxaaIeowajN7w21PfMLbu,0.576,0.0385,0.627,164.998,0.0,-4.649,0.181,176059,3,0.311,0.0449
Heat Waves,3USxtqRwSYz57Ewm6wWRMp,0.761,0.44,0.525,80.87,6.7e-06,-6.9,0.0921,238805,11,0.531,0.0944
Hold My Hand,0oWraSo5ASJ0h1BEagTyEw,0.519,0.0387,0.617,147.708,0.0,-4.287,0.401,225300,7,0.222,0.0313
Until I Found You,0T5iIrXA4p5GsubkhuBIKV,0.539,0.727,0.508,101.358,0.0,-6.05,0.174,177720,10,0.227,0.0288
Shivers,6bQfNiqyCX7UaQSvVVGo4I,0.788,0.281,0.859,141.02,0.0,-2.724,0.0424,207853,2,0.822,0.0856
Thousand Miles,1r8ZCjfrQxoy2wVaBUbpwg,0.376,0.0858,0.657,80.565,0.0,-4.658,0.0884,164782,7,0.203,0.0768
True Love,06JvOZ39sK8D8SqiqfaxDU,0.712,0.0182,0.861,84.042,6.09e-06,-5.487,0.511,148571,5,0.388,0.25
Die Hard,6gI9b2VsoWhjhIuIeToDVs,0.775,0.319,0.736,100.988,0.00116,-8.072,0.127,239027,1,0.362,0.247
Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.034,0.798,116.032,4.19e-05,-6.312,0.0952,202735,1,0.942,0.0317
Boyfriend,59CfNbkERJ3NoTXDvoURjj,0.345,0.232,0.612,179.773,0.0,-6.543,0.194,153000,7,0.232,0.0608
In The Stars,1ei3hzQmrgealgRKFxIcWn,0.362,0.338,0.54,78.007,0.0,-6.031,0.139,216410,10,0.3,0.0528
SUPERMODEL,63WuQOXohQIxOxIFA2K7bR,0.636,0.00164,0.876,120.983,0.0,-3.413,0.117,148064,7,0.799,0.0555
Die Young (feat. 347aidan),6EbVuwU7EnKeF2hdpViXCH,0.808,0.827,0.582,77.471,0.0,-6.26,0.111,148817,11,0.675,0.338
Where Did You Go?,26KOUSe9W0ZsTxMgNfbmq1,0.774,0.194,0.784,127.042,1.07e-05,-4.549,0.293,177689,10,0.533,0.0351
The Motto,18asYwWugKjjsihZ0YvRxO,0.754,0.0301,0.763,117.953,2.23e-05,-4.627,0.0901,164819,7,0.464,0.0435
Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,0.529,0.000307,0.673,165.921,2.41e-06,-4.711,0.093,218365,0,0.366,0.175
Real Talk,32ny2YtiR7zKi7PBjiQ5Iy,0.789,0.128,0.71,138.033,0.0,-6.165,0.112,183187,5,0.188,0.0681
Hear It Back (feat. Moneybagg Yo),1fz22sUZlpL9jZOWz02wws,0.766,0.111,0.485,140.055,0.0,-8.343,0.436,134908,4,0.289,0.237
Sleazy Flow (with Lil Baby) - Remix,5cx7vkF8BQ0iOsVpfvZbnz,0.869,0.2,0.298,77.47,0.0,-12.076,0.0753,161355,2,0.178,0.386
PUFFIN ON ZOOTIEZ,5qgFgsrrxOjyPmX5YCuK2E,0.883,0.0603,0.657,124.992,0.0,-5.748,0.128,172933,8,0.284,0.305
HOTEL LOBBY (Unc & Phew),0QNNd0qMCDbraS1nQPg3aA,0.821,0.142,0.636,127.961,0.0,-4.479,0.233,142657,11,0.163,0.169
Right On,6ws54n2IzyrIxxyzlG2bVJ,0.535,0.0245,0.618,165.991,0.0,-5.668,0.103,213976,2,0.211,0.382
Burglars & Murderers (feat. EST Gee),6JbrcjoMVBBNZllVOiHBcU,0.774,0.0334,0.551,137.932,0.0,-5.862,0.109,160034,1,0.0858,0.0854
From The D 2 The LBC (with Snoop Dogg),7My9ca9QEIR8MvIOdIrTWA,0.73,0.105,0.785,82.037,0.0,-7.986,0.0445,215120,9,0.596,0.243
See Wat I’m Sayin,30vAfL9Wyu2fu07vdbZ1Xt,0.936,0.0324,0.497,138.016,0.0,-7.185,0.111,146732,1,0.364,0.41
Dua Lipa,0LnS7aOdOdI1dNKZqdOLz4,0.833,0.00161,0.652,158.022,0.0985,-6.942,0.106,135053,11,0.405,0.0762
Cowboy,4LXbuAx8ZmRNZVL264Dswp,0.714,0.245,0.631,150.037,0.0105,-6.824,0.137,117096,0,0.482,0.0389
Silent Hill,3tYTyAt1q6BFBiGyYVOLhi,0.907,0.438,0.577,140.07,3.19e-05,-6.737,0.137,220779,1,0.801,0.0767
U-Digg (feat. 42 Dugg & Veeze),0b7UwotRCrS7qBoLDjfvSY,0.824,0.00253,0.583,147.496,0.0,-6.537,0.266,235501,1,0.154,0.147
"Run (feat. Tyga, 21 Savage & BIA)",7ItXHU9yVm8AUkMyo4kffF,0.817,0.0251,0.625,101.028,1.18e-06,-6.103,0.223,237624,2,0.379,0.217
I'M ON ONE (feat. Drake),6wyhUr4Xw8z5uSy0AhoZfU,0.773,0.0103,0.707,76.977,1.04e-05,-5.71,0.296,236187,11,0.113,0.0568
In A Minute,3ihIZrJreMJPjQdNLrEXnP,0.643,0.0336,0.605,84.216,0.0,-5.968,0.112,200471,4,0.145,0.297
Rich Spirit,6kYGOFNUMxpab09L5Ukoke,0.852,0.428,0.421,95.977,2.28e-06,-9.153,0.106,202285,10,0.457,0.208
Keep It Real,6UX9WrpJFv5LZW4hTH6svZ,0.757,0.0415,0.567,92.968,2.76e-05,-8.57,0.272,227097,11,0.272,0.0463
Die Young (feat. 347aidan),6EbVuwU7EnKeF2hdpViXCH,0.808,0.827,0.582,77.471,0.0,-6.26,0.111,148817,11,0.675,0.338
Let's Get It (Remix) [feat. 21 Savage],1NVp7VnSVUJalgIBCIkh0w,0.863,0.0758,0.499,80.073,0.0,-8.602,0.104,156996,7,0.76,0.514
Churchill Downs (feat. Drake),3EMp20j5E42MxfFbsEsIvD,0.71,0.615,0.522,96.448,0.0,-9.102,0.11,309327,11,0.37,0.36
Serial Killers,5KcZNsrl7PMIxJ2xBbTwH3,0.752,0.0319,0.617,144.006,0.0,-5.68,0.261,188967,7,0.137,0.0544
Certified (feat. Gunna),31xA2Iti4kb3aMiX75e8Y5,0.664,0.139,0.559,153.95,0.0,-7.568,0.303,149611,6,0.548,0.075
Distraction,1oc92BMKYkNxK17C2GtyRM,0.713,0.16,0.689,156.934,0.0,-5.99,0.136,171319,11,0.63,0.255
Banking On Me,7Fege3yv4dvehB3NdRBGwI,0.793,0.613,0.308,135.143,1.68e-05,-10.414,0.0953,200000,0,0.46,0.0466
712PM,1YWE7cMqo4iVNdPTpH4Khj,0.711,0.0355,0.686,146.971,0.0,-6.409,0.124,173187,5,0.536,0.271
Hold That Heat (feat. Travis Scott),6OrTKLtcF7EBayOV2QqkSK,0.744,0.0295,0.608,130.045,0.0,-6.386,0.397,221538,2,0.0692,0.0442
Mrs. Davis,6R8OyxlpbW1F00R2eJRiHk,0.734,0.0271,0.698,140.948,0.0,-5.555,0.355,237905,2,0.338,0.0908
BONNET (feat. Pooh Shiesty),6yiKdWLeX8pgmEHzClUEXn,0.73,0.272,0.738,127.014,0.0,-3.664,0.125,170254,5,0.788,0.176
N95,2FeBslNBMdR9V58uv6hd2t,0.79,0.377,0.67,139.956,2.32e-06,-5.527,0.119,195950,1,0.408,0.105
F.N.F. (Let's Go),1vrFJDrysqmsNAgyjBzx4f,0.864,0.0374,0.476,157.144,0.0,-10.068,0.374,137580,1,0.647,0.436
We Not Humping - Remix,4ue41gFbAjoU0P1EberJWm,0.971,0.0344,0.851,120.008,0.0,-5.586,0.092,143325,11,0.81,0.269
Rocky Road (with Kodak Black),7quesdAv9sxXO0oUOApmIo,0.702,0.00958,0.639,172.919,0.0,-7.301,0.161,178948,0,0.55,0.333
Scrape It Off (feat. Lil Uzi Vert & Don Toliver),1dp8aQANyTRKssDeAYPiZe,0.594,0.484,0.679,106.726,7.83e-06,-3.702,0.114,152613,7,0.66,0.345
First Class,1rDQ4oMwGJI7B4tovsBOxc,0.905,0.0254,0.563,106.998,9.71e-06,-6.135,0.113,173948,8,0.324,0.102
Cooped Up (with Roddy Ricch),7DwcBgdzqhFJltEaV1XF81,0.669,0.038,0.773,93.923,0.0,-5.619,0.113,185857,0,0.377,0.153
Thump Shit,4XAQVDjEXZriZR9pe2tdQQ,0.719,0.00222,0.611,144.929,1.3e-06,-7.325,0.336,226362,5,0.503,0.207
Wraith,4GSyA0YDBON0qD8fvqmPan,0.957,0.162,0.528,130.001,1.3e-06,-6.025,0.615,147692,7,0.687,0.128
Goin Up,1wNdGz7BlB9kH5lDc1eLLb,0.732,0.0642,0.672,137.03,0.0,-8.462,0.121,140601,10,0.16,0.148
Lights Off (feat. Gunna & Lil Durk),2pqu2XTbal0GehjBj2BDkv,0.776,0.123,0.671,147.06,0.0,-5.791,0.0913,215510,9,0.456,0.255
We Set The Trends (feat. Migos & ‎Juelz Santana) - Remix,3KNxJvz0dM6aPb6bVJdyKi,0.801,0.0771,0.794,119.044,0.0,-4.674,0.204,217815,6,0.757,0.315
Insane,2meHtZ7N97pJfvTL4hYtfv,0.645,0.0597,0.671,82.546,8e-06,-7.208,0.11,169661,10,0.365,0.0459
True Love,06JvOZ39sK8D8SqiqfaxDU,0.712,0.0182,0.861,84.042,6.09e-06,-5.487,0.511,148571,5,0.388,0.25
Do What I Want,62tDpymKVSXEu0W3d4AMr9,0.821,0.091,0.897,154.985,3.44e-06,-3.624,0.106,171827,1,0.354,0.129
D.M.B.,7IBLt4Qarf4JDLxIQDv2O5,0.727,0.542,0.616,140.014,4.47e-06,-8.487,0.482,291612,8,0.392,0.338
LONDON (feat. J. Cole),5vhrsx08dHh2QcVh1Rsiwt,0.644,0.0225,0.671,132.001,0.0,-5.156,0.0855,250723,11,0.563,0.315
Cash In Cash Out,3S68RFe1lsdCdTMPIMJM3X,0.877,0.00721,0.56,119.971,1.45e-06,-3.751,0.0839,216136,7,0.154,0.0596
Denial,4MQnXVR8DJvsySuXYuzUtf,0.656,0.0861,0.597,91.956,0.0,-7.745,0.122,180000,7,0.277,0.298
Plan B,2PljnVsnl2PRwCvfhbdQup,0.787,0.0668,0.522,170.439,0.0,-5.872,0.108,163765,8,0.666,0.463
The Kind of Love We Make,28n8z9IQKyjMPxmvYMBqZa,0.608,0.0226,0.745,102.025,6.47e-06,-4.13,0.0942,224427,1,0.464,0.0277
If I Was a Cowboy,6F7UOC6fPWOkPqybOWBHSv,0.575,0.271,0.644,80.07,0.0,-5.68,0.131,195013,6,0.626,0.0309
She Had Me At Heads Carolina,200x8ONbPfFzByUr3fVz46,0.607,0.124,0.912,134.944,0.0,-3.449,0.332,206107,8,0.722,0.0611
5 Foot 9,6AqwH2Y9FJwhUE2dCSkw1u,0.602,0.146,0.796,106.005,0.0,-5.609,0.125,189780,5,0.53,0.0465
Pick Me Up,7xNYZeFtrB05pi9tc6lEeb,0.472,0.0387,0.701,79.805,0.0,-4.563,0.107,169440,2,0.515,0.0369
down home,6iai8D40xiwuktWrxcInt1,0.584,0.01,0.821,146.0,0.0,-3.628,0.196,201733,9,0.571,0.0305
Heart Like A Truck,5ZCjp56T8J6d7amJyFSzrI,0.587,0.148,0.632,139.974,1.01e-05,-5.416,0.158,199040,9,0.392,0.0311
What My World Spins Around,6HBRLaSQ7NB8MNlaqzYen1,0.675,0.105,0.726,124.872,0.0,-6.459,0.153,186791,2,0.671,0.0461
She Likes It (feat. Jake Scott),6VVqPBFZIbcmv14zNfOc13,0.79,0.509,0.325,126.877,0.0,-11.689,0.155,163311,4,0.539,0.127
HEARTFIRST,1S55d7hhptRt8PS6nC1fSY,0.662,0.021,0.855,120.079,0.0,-3.742,0.228,187017,0,0.84,0.0457
You,2xPV95cfbyusygMTxpa3SW,0.544,0.118,0.572,169.885,0.0,-6.205,0.234,196253,0,0.52,0.0319
What He Didn't Do,5OLaVCAM2pqg7X9mAM2W8M,0.628,0.257,0.632,137.854,0.0,-5.932,0.288,191227,9,0.559,0.0325
Pickup,2kEhQe0BVtY8IIaFE5ALA0,0.614,0.45,0.837,96.977,2.49e-05,-3.967,0.115,168448,1,0.862,0.0255
Like I Love Country Music,3j1xkzTW8owIphkWV51V9s,0.542,0.000682,0.82,124.85,0.000136,-6.073,0.0561,234341,8,0.702,0.0432
Wishful Drinking (with Sam Hunt),3HGnIIdHYIbkowzLk8UHbE,0.678,0.289,0.528,79.018,0.0,-7.317,0.0734,194545,10,0.614,0.0551
Soul,3vCUelLOtiuNF78p9LNWZF,0.789,0.357,0.642,121.003,0.0,-8.304,0.0985,167680,11,0.755,0.0352
'Til You Can't,4k3lPl8YTKuY8c1HelVnm3,0.501,0.0513,0.815,160.087,0.0,-4.865,0.106,224213,1,0.46,0.0436
Wild as Her,7FEu6U2jXAs2URjx93AyTm,0.497,0.00331,0.726,147.91,0.0,-6.018,0.103,201639,0,0.418,0.0363
Everything She Ain’t,3zAOcNGOFq5Q1OsN0tcxA0,0.796,0.175,0.621,121.904,0.0,-6.129,0.274,151973,2,0.808,0.0346
Whiskey On You,6Tm4Io4ct4w14nB1EUzsY3,0.479,7.02e-05,0.768,110.024,0.00549,-5.204,0.121,183790,8,0.576,0.0312
Don’t Come Lookin’,1vscizuuPwkwC1cc5N5KQV,0.529,0.0115,0.858,156.129,2.91e-05,-6.015,0.345,187957,9,0.676,0.0536
Wilder Days,0XxNamjHxu0ercIQmWNkRT,0.502,0.00322,0.662,110.917,0.00274,-4.041,0.119,251293,9,0.4,0.0293
Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,0.369,0.555,0.192,175.212,8.35e-06,-12.151,0.0954,228013,4,0.148,0.04
Baby I Am,6OSa9hgEvituO2SaaYBiwD,0.514,0.0961,0.693,156.039,0.0,-6.428,0.071,176573,1,0.46,0.0528
Fall In Love,5gVCfYmQRPy1QJifP8f5gg,0.524,0.451,0.643,135.962,0.0,-6.055,0.221,232059,9,0.397,0.0297
Dates In Pickup Trucks,5U4iPIXYJ5h6H7zJhx6VVF,0.453,0.312,0.842,170.166,0.0,-3.156,0.186,165520,11,0.644,0.394
Trouble With A Heartbreak,4lSNyiHil3tuiwtvEpN1qq,0.582,0.23,0.797,135.973,0.0,-4.926,0.132,196027,5,0.595,0.0334
Stop Draggin' Your Boots,0ODaBMQ3tbTefbmbMWTwdT,0.463,0.0379,0.76,123.899,0.0,-5.958,0.115,164347,2,0.65,0.11
Party Mode,7ivOkXLuP1182ZtzA54Vbw,0.619,0.0483,0.916,114.019,4.88e-06,-2.752,0.246,211987,10,0.785,0.0468
Good Friends,5HVc3YeNKDFomPhXBKE90U,0.628,0.45,0.517,79.029,1.27e-06,-7.031,0.104,208067,10,0.295,0.0596
No Hard Feelings,3YaycOQk7PoQpl7YdvmWdX,0.636,0.243,0.866,85.004,5.42e-06,-5.796,0.371,191360,4,0.963,0.0553
Love Talking,5kFLWyiAXjYrecLHnR7bTk,0.557,0.0177,0.821,107.964,0.0,-4.989,0.296,173131,3,0.471,0.0339
Son Of A Sinner,25VQoiuyc0HkC5FQTj1a8G,0.365,0.0419,0.541,86.041,2.25e-06,-7.489,0.281,232093,7,0.329,0.0304
Ghost Story,2FGOg7uYBfnspkPOISXTFY,0.479,0.0069,0.742,142.909,0.000834,-5.587,0.278,181400,7,0.454,0.0539
Longneck Way To Go,5GZpFMMargJUqhbLoI94Tz,0.485,0.00177,0.883,129.021,6.38e-06,-4.906,0.37,188400,5,0.604,0.0403
Greener Pasture,3fA0FKdkPmBa62MSxwewKE,0.63,0.0282,0.544,112.942,0.0,-7.252,0.199,189443,0,0.389,0.0287
Should Have Known Better,0zpaxKLpHw3zCmiYcvn9OV,0.533,0.0628,0.663,175.878,0.0,-4.189,0.108,146520,0,0.83,0.0333
Can't Have Mine (Find You A Girl),4q9NEq8kUmSZwtNsxL2KJN,0.663,0.791,0.502,143.969,0.0,-7.07,0.105,183087,5,0.371,0.0285
Good Ol' Man,106WZMD4t61E3WIBPtXTDK,0.594,0.286,0.484,168.006,0.0,-7.093,0.0878,202178,6,0.281,0.0299
Damn Strait,4jp9FimhP2bQ93vR0A5r7b,0.523,0.0512,0.64,144.022,5.52e-05,-6.15,0.0675,230227,4,0.48,0.0295
Downtown Baby,3NIMPlnySYOfVF5Vxr4Ae1,0.7,0.0176,0.616,110.059,0.0,-5.82,0.463,167533,2,0.466,0.0282
Country Boy Do (feat. Tyler Hubbard),24MH7MzHl5XAYlmMdn85CF,0.551,0.0371,0.9,163.847,0.0,-3.196,0.192,176983,1,0.538,0.09
AA,77oKig47u34qCCFWKMfu1e,0.635,0.00313,0.747,104.027,0.0,-6.227,0.346,189560,4,0.753,0.0293
Praise The Lord (feat. Thomas Rhett),4ELynSlkV4OHcBCFenFJ7U,0.826,0.0474,0.603,107.494,0.0,-7.659,0.0831,160290,1,0.681,0.0737
My Bar,3rvEUrjnl3eXXmKiKLkzRN,0.615,0.0173,0.782,96.97,0.0,-3.386,0.189,193053,11,0.562,0.0331
Last Night Lonely,3SeeaIXnrCfT88vHVCRWHl,0.646,0.00496,0.816,102.972,0.0,-2.65,0.179,181991,6,0.865,0.0269
Truth About You,4Qum1kECNQrpREev5fvAQ4,0.492,0.0975,0.708,161.989,0.0,-4.639,0.12,203037,10,0.697,0.0334
If You Have To,5aWxPjDd4ZfpsmDoeR1plq,0.71,0.595,0.401,117.979,0.0,-6.322,0.0996,199493,5,0.0975,0.0335
Flower Shops (feat. Morgan Wallen),2ccuOtUjIyx3tPcsnpeBzJ,0.527,0.118,0.461,128.153,0.0,-5.908,0.0831,214405,7,0.227,0.0269
Songs About You,7qox7CiK5Kf25oBxCA0rY5,0.649,0.147,0.558,89.988,0.0,-4.863,0.172,202387,8,0.635,0.0253
Antes de Perderte,4RtPruLRZbyirtJGqYHPQm,0.812,0.487,0.925,110.031,0.0,-3.092,0.115,176727,5,0.614,0.113
Efecto,5Eax0qFko2dh7Rl2lYs3bx,0.801,0.141,0.475,98.047,1.73e-05,-8.797,0.0639,213061,7,0.234,0.0516
ULTRA SOLO REMIX,6wtZPYBIXUvCpXwVjMCJBf,0.909,0.0777,0.824,109.97,0.00387,-4.627,0.0638,322347,1,0.585,0.0797
PROVENZA,7dSZ6zGTQx66c2GF91xCrb,0.87,0.656,0.516,111.005,0.00823,-8.006,0.11,210200,1,0.53,0.0541
Te Felicito,2rurDawMfoKP4uHyb2kJBt,0.695,0.234,0.636,174.14,0.0,-4.654,0.081,172235,5,0.575,0.317
Ojitos Lindos,3k3NWokhRRkEPhCzPmV8TW,0.647,0.08,0.686,79.928,1.34e-06,-5.745,0.528,258299,3,0.268,0.0413
Mayor Que Usted,7d7aPD2oxuzjhOZnu4Dj23,0.625,0.00762,0.839,184.08,2.35e-05,-4.824,0.464,233520,6,0.771,0.0927
MAMIII,1ri9ZUkBJVFUdgwzCnfcYs,0.843,0.0934,0.7,93.991,0.0,-3.563,0.14,226088,4,0.899,0.0803
Fuera del mercado,1UdzJEpgJxtuXAlCOvD4S0,0.453,0.32,0.673,92.06,0.0,-5.649,0.131,159849,8,0.266,0.144
La Llevo Al Cielo (Ft. Ñengo Flow),6DoL1yYIwEW7VZMRaJhoJI,0.795,0.105,0.845,170.023,1.14e-05,-3.809,0.172,254920,9,0.769,0.135
Qué Me Contás,06WTESRQbdQE1AQQdtEnWd,0.744,0.406,0.783,176.0,0.000285,-4.192,0.509,209840,4,0.754,0.0951
Una Noche en Medellín,1O2pcBJGej0pmH2Y9XZMs6,0.87,0.0924,0.548,96.018,4.6e-05,-5.253,0.0534,153750,10,0.832,0.077
Desesperados,6ZOcbKub95XSDESsKKuH41,0.869,0.356,0.694,90.02,0.00125,-3.35,0.0878,224997,1,0.511,0.0783
Desde Mis Ojos - Remix,0hzC5kZ6qKZJ9ybyW75VV8,0.673,0.677,0.56,93.978,0.0,-5.191,0.293,223564,1,0.656,0.182
OJALÁ,1uGdRSOpObu3lp0jvrVREl,0.798,0.133,0.629,92.018,5.06e-06,-4.393,0.103,160482,1,0.362,0.0729
Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,0.911,0.0901,0.712,92.005,2.68e-05,-5.105,0.0933,178567,1,0.425,0.0817
Nos Comemos Vivos,3SlKme42qm1vWrkl3BrZmm,0.822,0.165,0.719,82.01,2.48e-05,-3.633,0.174,225366,10,0.659,0.0576
Envolver,3IAfUEeaXRX9s9UdKOJrFI,0.812,0.152,0.736,91.993,0.00254,-5.421,0.0914,193806,4,0.396,0.0833
La Bachata,5ww2BF9slyYgNOk37BlC4u,0.835,0.583,0.679,124.98,1.98e-06,-5.329,0.218,162638,7,0.85,0.0364
"Villano Antillano: Bzrp Music Sessions, Vol. 51",4hceSKjrkDTO0nMKFcb3sj,0.82,0.0584,0.752,127.999,0.00417,-7.635,0.628,187500,1,0.423,0.0648
intoxicao,2Znff2J1fAgQhXXEMW7y5V,0.929,0.205,0.642,94.039,0.0,-3.179,0.0599,168509,11,0.847,0.0375
Nos Comemos (feat. Ozuna),6ojZtz3sZr6ynvejLOqgCj,0.827,0.1,0.819,92.017,0.0,-3.701,0.089,191087,6,0.562,0.052
La Triple T,7kYbxvrGXv8cmKjkqgqhrw,0.801,0.414,0.633,92.025,0.0,-2.785,0.27,167674,11,0.676,0.0777
Gogo Dance,6riuMNiPqRmE4LPJZGzIuv,0.596,0.12,0.868,118.02,0.518,-4.95,0.0514,173390,8,0.705,0.161
¿Qué Nos Pasó?,7k3qWn8D43a5ISa3x8lJux,0.703,0.436,0.694,95.0,5.8e-06,-4.808,0.12,245739,3,0.298,0.0607
Brisa,5xhFO6kaUjGcSezSp5hIhG,0.817,0.0938,0.932,126.008,0.0284,-4.232,0.0792,259334,11,0.396,0.0467
Castigo,7INDea2qgB7TlUgpux3hsg,0.739,0.0897,0.672,179.78,0.0,-4.127,0.104,178080,8,0.739,0.174
Jordan,2rDZhKnPaPG054ExZ6nXUS,0.796,0.0575,0.68,179.923,0.000683,-5.555,0.103,176143,10,0.71,0.37
Maléfica,3i5cUvzBImLJTLh0koudVl,0.847,0.0932,0.843,94.983,0.0,-3.771,0.111,183413,8,0.724,0.117
RUMBATÓN,3XjN0mvFkQp1FMVM9Ro5hm,0.685,0.0471,0.909,95.004,0.0,-4.034,0.35,248769,3,0.922,0.0396
